Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;NUTS2;Geographical Zone;Expense Type;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
AID.CTR.333106.01.1;2013;KINGDOM OF LESOTHO*ROYAUME DU LESOTHO;no;;-;-;;Lesotho;0,00€;;Lesotho;Operational;18.000.000,00€;Fixed and Variable Tranches for Water and Sanitation Sector Policy Support;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.323847.01.1;2013;MALO SA OLOTU TUTO ATASI O SAMOA*ETAT INDEPENDANT DES SAMOA INDEPENDENT STATE OF SAMOA;no;;-;-;;Samoa;0,00€;;Western Samoa;Operational;17.900.000,00€;Water & Sanitation Sector Reform Contract;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.313770.01.1;2013;AFRICAN DEVELOPMENT SOLUTIONS (ADESO) ASSOCIATION*;yes;;LENANA ROAD LENANA FLATS HOUSE 2;NAIROBI;00400;Kenya;0,00€;;Somalia;Operational;14.840.000,00€;Deegaankaagu waa noloshaada - Your environment is your life;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grants
AID.CTR.319110.01.2;2013;UNITED NATIONS DEVELOPMENT PROGRAMME*UNDP PROGRAMME DES NATIONS UNIESPOUR LE DEVELOPPEMENT PNUD;yes;;UNITED NATIONS PLAZA 1;NEW YORK;10017;United States;0,00€;;Mali;Operational;14.600.000,00€;PAPEM: Projet d'Appui au Processus Electoral du Mali;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grants
AID.CTR.318823.01.1;2013;BURKINA FASO*;no;;-;-;;Burkina Faso;0,00€;;Burkina Faso;Operational;14.000.000,00€;Appui budgétaire sectoriel eau potable et assainissement (Initiative OMD de l'UE);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Budget support
AID.CTR.314625.01.1;2013;AIRTRAFFIC LTD*AT;yes;;LENGAI HOUSE SECOND FL WILSON AIRP;NAIROBI;00606;Kenya;0,00€;;Somalia;Operational;13.204.525,00€;EU Flight Services to Somalia;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.328604.01.1;2013;REPUBLICA DOMINICANA*REPUBLIQUE DOMINICAINE DOMINICAN REPUBLIC;no;;-;-;;Dominican Republic;0,00€;;Dominican Republic;Operational;13.100.000,00€;Programme for the Support of Local Authorities and Civil Society - PASCAL;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.316655.01.1;2013;CENTRE POUR LE DEVELOPPEMENT DEL'ENTREPRISE*CDE;yes;;AV EDMOND VAN NIEUWEHUYSE 2A;BRUXELLES;1160;Belgium;0,00€;;ACP Countries;Operational;12.300.000,00€;CDE Budget 2013;Directorate-General for Development and Cooperation — EuropeAid;Intra ACP - CDE (04.20.11.01);;Grants
AID.CTR.335315.01.1;2013;RIPABLIK BLONG VANUATU*REPUBLIQUE DE VANUATU REPUBLIC OF VANUATU;no;;-;-;;Vanuatu;0,00€;;Vanuatu;Operational;12.000.000,00€;Good Governance and Development Contract: Vanuatu 2013-2017;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.326926.01.1;2013;SECRETARIAT OF THE PACIFIC COMMUNITY*SPC;yes;;POBOX D5;NOUMEA CEDEX;98848;New Caledonia;0,00€;;Overseas countries and territories;Operational;11.442.580,00€;Initiative des Territoires pour la Gestion Régionale de l'Environnement (INTEGRE) dans les PTOM du Pacifique;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);;Grants
AID.CTR.332528.01.1;2013;UNITED NATIONS CHILDREN'S FUND*UNICEF LE FONDS DES NATIONS UNIES POURL'ENFANCE;yes;;UNITED NATIONS PLAZA 3;NEW YORK;10017;United States;0,00€;;Congo (Democratic Republic of the);Operational;9.450.000,00€;Projet d’accélération des progrès vers les Objectifs 4 et 5 du millénaire pour le développement - OMD;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.331649.01.1;2013;BARBADOS*BARBADE;no;;-;-;;Barbados;0,00€;;Barbados;Operational;8.330.000,00€;10EDF Budget Support to Barbados Human Resource Development Programme;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.308723.01.1;2013;UNITED NATIONS CHILDREN'S FUND*UNICEF LE FONDS DES NATIONS UNIES POURL'ENFANCE;yes;;UNITED NATIONS PLAZA 3;NEW YORK;10017;United States;0,00€;;Ivory Coast;Operational;8.000.000,00€;Composante Assainissement du Programme d'Hydraulique et d'Assainissement pour le Millénaire (PHAM);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grants
AID.CTR.313140.01.1;2013;STICHTING CARE NEDERLAND*;yes;NL802388504B01;PARKSTRAAT 21 4E ETAGE;DEN HAAG;2514 JD;Netherlands;0,00€;;Somalia;Operational;8.000.000,00€;Deegaankaagu Waa Noloshaada - Your Environment is Your Life;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grants
AID.CTR.323139.01.1;2013;REPUBLIC OF TRINIDAD AND TOBAGO*REPUBLIQUE DE TRINIDAD ET TOBAGO;no;;-;-;;Trinidad and Tobago;0,00€;;Trinidad and Tobago;Operational;7.100.000,00€;Environment Programme for Trinidad and Tobago;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.324350.01.1;2013;COMMONWEALTH SECRETARIAT*COMSEC;yes;;MARLBOROUGH HOUSE PALL MALL;LONDON;SW1Y 5HX;United Kingdom;0,00€;;ACP Countries;Operational;7.000.000,00€;Hub & Spokes II Programme - Enhancing Trade Capacity Development in Africa, the Caribbean and the Pacific;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);;Grants
AID.CTR.331643.02.1;2013;HELP - HILFE ZUR SELBSTHILFE EV*;no;;REUTERSTRASSE 159;BONN;53113;Germany;0,00€;;Zimbabwe;Administrative;7.000.000,00€;Increased household food, income and nutrition security through commercialization of an integrated and sustainable smallholder livestock sector in Zimbabwe;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Grants
;;LINKAGES FOR ECONOMIC ADVANCEMENT OF THE DISADVANTAGED PRIVATE VOLUNTARY ORGANISATION*LEAD;no;;LANARK ROAD 3 BELGRAVIA;HARARE;;Zimbabwe;0,00€;;;;0,00€;;;;;
;;THE FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS*FAO ORGANISATION DES NATIONS UNIES POUR L'ALIENTATION ET L'AGRICULTURE;yes;;VIALE DELLE TERME DI CARACALLA;ROMA;00153;Italy;0,00€;;;;0,00€;;;;;
AID.CTR.329749.01.3;2013;REPUBLIQUE TOGOLAISE*TOGOLESE REPUBLIC;no;;-;-;;Togo;0,00€;;Togo;Operational;6.320.000,00€;Programme d'Appui Budgétaire aux Politiques Publiques (ABPP);Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Budget support
AID.CTR.315282.01.1;2013;COMMUNAUTE ECONOMIQUE DES ETATS DEL'AFRIQUE CENTRALE*C.E.E.A.C;yes;;HAUT DE GUE GUE;LIBREVILLE;;Gabon;0,00€;;ACP Countries;Operational;6.300.000,00€;MICOPAX 1E;Directorate-General for Development and Cooperation — EuropeAid;Intra ACP - Peace Facility (04.20.50);European Development Fund (10th EDF);Grants
AID.CTR.334642.01.1;2013;CENTRE TECHNIQUE DE COOPERATION AGRCOLE ET RURAL*THE TECHNICAL CENTREFOR AGRICULTURAL AND RURAL CO-OPERATION;yes;;AGRO BUSINESS PARK 2;WAGENINGEN;6708 AY;Netherlands;0,00€;;ACP Countries;Operational;6.256.000,00€;OPERATING GRANT CTA 2014;Directorate-General for Development and Cooperation — EuropeAid;Intra ACP - CTA (04.20.11.02);;Grants
AID.CTR.318788.01.2;2013;REPUBLIQUE FRANCAISE*FRENCH REPUBLIC;no;;-;-;;France;0,00€;;Mayotte;Operational;6.000.000,00€;Programme d'appui du plan de développement territorial de Mayotte;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Budget support
AID.CTR.333106.01.2;2013;KINGDOM OF LESOTHO*ROYAUME DU LESOTHO;no;;-;-;;Lesotho;0,00€;;Lesotho;Operational;6.000.000,00€;Fixed and Variable Tranches for Water and Sanitation Sector Policy Support;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.333349.01.1;2013;THE FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS*FAO ORGANISATION DES NATIONS UNIES POUR L'ALIENTATION ET L'AGRICULTURE;yes;;VIALE DELLE TERME DI CARACALLA;ROMA;00153;Italy;0,00€;;Zimbabwe;Operational;6.000.000,00€;Smallholder Irrigation Support Programme;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Grants
AID.CTR.316931.01.1;2013;AFRICAN UNION*UNION AFRICAINE UNIAO AFRICANA;yes;;ROOSEVELT STREET;ADDIS ABABA;3242;Ethiopia;0,00€;;Eastern, Southern Africa and the Indian Ocean 10 EDF;Operational;5.880.000,00€;IMPROVING ANIMAL DISEASE SURVEILLANCE IN SUPPORT OF TRADE IN IGAD MEMBER STATES;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);;Grants
AID.CTR.328799.01.2;2013;PULEANGA TONGA*ROYAUME DES TONGAKINGDOM OF TONGA;no;;-;-;;Tonga;0,00€;;Tonga;Operational;5.708.000,00€;Energy Sector Reform Contract;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Financial Instruments
AID.CTR.312403.01.2;2013;CARE FRANCE ASSOCIATION*;yes;;RUE ARCHEREAU 71;PARIS;75019;France;0,00€;;Haiti;Operational;5.638.168,42€;Katye Nou Pi Bèl;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grants
AID.CTR.328492.01.1;2013;AFRICAN UNION*UNION AFRICAINE UNIAO AFRICANA;yes;;ROOSEVELT STREET;ADDIS ABABA;3242;Ethiopia;0,00€;;African Union;Operational;5.200.000,00€;AMANI AFRICA II Support Programme;Directorate-General for Development and Cooperation — EuropeAid;Intra ACP - Peace Facility (04.20.50);;Grants
AID.CTR.330084.01.1;2013;REPUBLIC OF MAURITIUS*REPUBLIQUE DEMAURICE;no;;-;-;;Mauritius;0,00€;;Mauritius;Operational;5.100.000,00€;Promoting Sustainable and Equitable Development Phase II Good Governance and Development Contract ( EDF 10 part);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.323358.01.1;2013;EUROPEAN INVESTMENT BANK*BANQUE EUROPEENNE D INVESTISSEMENT;yes;;BOULEVARD KONRAD ADENAUER 100;LUXEMBOURG;2950;Luxembourg;0,00€;;Zambia;Operational;5.000.000,00€;Mulonga Peri-urban water and sanitation action;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);;Grants
AID.CTR.324351.01.1;2013;ORGANISATION INTERNATIONALE DE LA FRANCOPHONIE*OIF;yes;;AVENUE BOSQUET 19-21;PARIS;75007;France;0,00€;;ACP Countries;Operational;4.700.000,00€;Hub & Spokes II Programme - Composante Afrique de l'Ouest & Afrique Centrale;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);;Grants
AID.CTR.317732.01.1;2013;HULLA & CO HUMAN DYNAMICS KG*HULLABERNHARD GOTTFRIED THIERY;yes;ATU40132405;LOTHRINGERSTRASSE 16/10-11;WIEN;1030;Austria;0,00€;;ACP Countries;Operational;4.394.700,00€;Training on FInancial and Contractual Procedures in the framework of the 10th EDF;Directorate-General for Development and Cooperation — EuropeAid;Support expenditure (05.10.10);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.328527.01.1;2013;SECRETARIAT OF THE PACIFIC COMMUNITY*SPC;yes;;POBOX D5;NOUMEA CEDEX;98848;New Caledonia;0,00€;;Kiribati;Operational;4.312.200,00€;Improved Drinking Water Supply for Kiritimati Island;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.315531.02.1;2013;PROMAN SA*;yes;LU13230349;RUE MICHEL HACK 68;BETTEMBOURG;3240;Luxembourg;0,00€;;Madagascar;Operational;4.299.894,00€;Assistance Technique au Programme PASSOBA Education;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement (including provisional commitments)
AID.CTR.306985.01.1;2013;DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*;yes;DE113891176;DAG HAMMARSKJOLD WEG 1-5;ESCHBORN;65760;Germany;0,00€;;South Sudan;Operational;4.148.500,00€;Smallholders' Component of South Sudan Rural Development Programme SORUDEV;Directorate-General for Development and Cooperation — EuropeAid;Macroeconomic support (02.10.10.10);;Public procurement (including provisional commitments)
AID.CTR.334924.01.1;2013;ISLAS MALVINAS*ILES MALOUINESFALKLAND ISLANDS;no;;-;-;;Falkland Islands;0,00€;;Falkland Islands;Operational;4.030.000,00€;Support to trade development and private sector business expansion in the Falkland Islands;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Budget support
AID.CTR.319933.01.1;2013;THE INTERNATIONAL CENTRE OF INSECTPHYSIOLOGY AND ECOLOGY LBG*ICIPE;yes;;OFF THIKA ROAD DUDUVILLE CAMPUS;NAIROBI;0100;Kenya;0,00€;;Somalia;Operational;4.000.000,00€;Sustainable Peri-Urban Milk Value Chain Development;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.332527.01.1;2013;THE AGRICULTURAL PARTNERSHIPS TRUST*APT;no;;HUDSON AVENUE 11 ALEXANDRA PARK;HARARE;;Zimbabwe;0,00€;;Zimbabwe;Administrative;4.000.000,00€;Sustainable Intensification of Market Based Agriculture (SIMBA);Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Grants
;;DEUTSCHE WELTHUNGERHILFE EV*GERMANAGRO ACTION;yes;DE812801234;FRIEDRICH EBERT STRASSE 1;BONN;53173;Germany;0,00€;;;;0,00€;;;;;
AID.CTR.332713.01.1;2013;ENVIRONMENT AFRICA PRIVATE VOLUNTARY ORGANISATION*EA;no;;QUEEN ELIZABETH ROAD 76 GREENDALE;AVONDALE HARARE;;Zimbabwe;0,00€;;Zimbabwe;Administrative;4.000.000,00€;"Integrated Food, Nutrition and Income Security Programme For
Binga and Hwange Districts";Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Grants
;;CATHOLIC AGENCY FOR OVERSEAS DEVELOPMENT TRUST*CAFOD;no;GB625880030;WESTMINSTER BRIDGE ROAD 55 ROMERO;LONDON;SE1 7JB;United Kingdom;0,00€;;;;0,00€;;;;;
;;STICHTING SNV NEDERLANDSE ONTWIKKELINGSORGANISATIE*SNV NETHERLANDS DEVELOPMENT ORGANISATION;yes;NL007397100B01;DR KUYPERSTRAAT 3 5;DEN HAAG;2514 BA;Netherlands;0,00€;;;;0,00€;;;;;
AID.CTR.335508.01.1;2013;REPUBLICA DE MOCAMBIQUE*REPUBLIQUEDU MOZAMBIQUE REPUBLIC OF MOZAMBIQUE;yes;;-;-;;Mozambique;0,00€;;Mozambique;Operational;4.000.000,00€;Apoio ao Estado de Direito - Componente: Procuradoria Geral da República;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.312418.01.1;2013;DEUTSCHE WELTHUNGERHILFE EV*GERMANAGRO ACTION;yes;DE812801234;FRIEDRICH EBERT STRASSE 1;BONN;53173;Germany;0,00€;;Haiti;Operational;3.999.729,60€;"Projet intégré d’aménagement et développement
urbain à Petit Goâve";Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grants
AID.CTR.320697.01.1;2013;CENTRO DE DESENVOLMIMENTO DE SISTEMAS DE INFORMACAO*CEDSIF;yes;;AVENIDA GUERRA POPULAR 20;MAPUTO;;Mozambique;0,00€;;Mozambique;Operational;3.925.000,00€;Apoio às reformas na área da Gestão das Finanças Públicas;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.336398.01.1;2013;UNITED NATIONS DEVELOPMENT PROGRAMME*UNDP PROGRAMME DES NATIONS UNIESPOUR LE DEVELOPPEMENT PNUD;yes;;UNITED NATIONS PLAZA 1;NEW YORK;10017;United States;0,00€;;Tanzania;Operational;3.700.000,00€;Democratic Empowerment Project;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.329158.01.1;2013;CAMBRIDGE EDUCATION LIMITED*;yes;GB523765636;SYDENHAM ROAD 8 10;CROYDON;CR0 2EE;United Kingdom;0,00€;;South Sudan;Operational;3.099.528,00€;Technical Assistance to the Ministry of Education, Science and Technology (former MoGEI) and State Ministries of Education in the Greater Bahr El Ghazal;Directorate-General for Development and Cooperation — EuropeAid;Macroeconomic support (02.10.10.10);;Public procurement (including provisional commitments)
AID.CTR.312716.01.1;2013;TERRA NUOVA CENTRO PER IL VOLONTARIATO ONLUS ASSOCIAZIONE*TN;yes;;VIA LIEGI 10;ROMA;00198;Italy;0,00€;;Somalia;Operational;3.000.000,00€;IGAD Sheikh Technical Veterinary School and Reference Centre (ISTVS);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grants
AID.CTR.329291.01.1;2013;AFRICA EDUCATIONAL TRUST*AET A E T;yes;;HAND COURT 18;LONDON;WC1V 6JF;United Kingdom;0,00€;;Somalia;Operational;3.000.000,00€;Somali-Wide Education Synergies II (SWES II) – Expanded Action;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.336934.01.1;2013;VITA (RTI) LBG*;yes;;BLESSINGTON STREET 73A;DUBLIN;7;Ireland;0,00€;;Ethiopia;Operational;3.000.000,00€;Sustainable Agriculture and Food Security Enhancement through Integrated Recovery Support Mechanisms (SAFE);Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Grants
AID.CTR.336935.01.1;2013;THE SAVE THE CHILDREN FUND LBG*;yes;;ST JOHN S LANE 1;LONDON;EC1M 4AR;United Kingdom;0,00€;;Ethiopia;Operational;3.000.000,00€;Building Resilience through Integrated Recovery Support to Drought Affected Communities in Somali (Siti Zone) and Afar (Zones 1, 4 & 5) Regions;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Grants
AID.CTR.335688.01.1;2013;INTERNATIONAL TRADE CENTRE*;yes;;PALAIS DES NATIONS;GENEVE 10;1211;Switzerland;0,00€;;Zimbabwe;Operational;2.960.000,00€;''Support to Trade and Private Sector Development'';Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Grants
AID.CTR.322210.01.1;2013;GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES*GRET;yes;FR04309123057;AVENUE DE LA BELLE GABRIELLE 45BIS;NOGENT SUR MARNE;94130;France;0,00€;;Madagascar;Operational;2.956.000,00€;Meddea II;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Grants
AID.CTR.325745.01.1;2013;FRANCE EXPERTISE INTERNATIONALE*FEI;yes;FR30531496180;RUE LINOIS 45;PARIS;75015;France;0,00€;;Guinea (Conakry);Operational;2.900.000,00€;RENFORCEMENT DE L’EFFICACITE DE LA PROTECTION CIVILE EN GUINEE;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);;Grants
AID.CTR.323725.01.1;2013;REYKJAVIK GEOTHERMAL EHF*RG;yes;IS99306;SUDURLANDSBRAUT 18;REYKJAVIK;108;Iceland;0,00€;;ACP Countries;Operational;2.815.000,00€;Regional Project for Geothermal Exploration in Rwanda, Burundi and DRC.;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);;Public procurement (including provisional commitments)
AID.CTR.314671.01.1;2013;INTERNATIONAL PEACEBUILDING ALLIANCE (INTERPEACE) ASSOCIATION*;yes;;CHEMIN DE BALEXERT 7-9;CHATELAINE GENEVE;1219;Switzerland;0,00€;;Somalia;Operational;2.500.000,00€;Somali Democratisation Programme Phase III - Puntland Elections;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grants
AID.CTR.332698.01.1;2013;SUISSECONTACT,SCHWEIZERISCHE STIFTUNG FUR TECHNISCHE ENTWICKLUNGSZUSAMMENARBEIT*SWISSCONTACT SWISS FOUNDATION FOR TECHNICAL COOPERATION;yes;CHE107828868MWST;HARDTURMSTRASSE 123;ZURICH;8005;Switzerland;0,00€;;Niger;Operational;2.500.000,00€;Formation professionnelle rurale et employabilité des jeunes;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
AID.CTR.333184.01.1;2013;REPUBLICA DE MOCAMBIQUE*REPUBLIQUEDU MOZAMBIQUE REPUBLIC OF MOZAMBIQUE;yes;;-;-;;Mozambique;0,00€;;Mozambique;Operational;2.500.000,00€;Apoio ao Estado de Direito  - Componente Assembleia da República;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);;Grants
