Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;NUTS2;Geographical Zone;Expense Type;Co-financing rate;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
AID.CTR.310675.01.1;2012;AUSTRIAN DEVELOPMENT AGENCY GMBH*ADA;yes;;ZELINKAGASSE 2;WIEN;1010;Austria;;;Uganda;Operational;;30.500.000,00 €;Water supply and Sanitation Development in Small Towns and Rural Growth Centres under the EU-MDG -Initiative;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.286749.01.1;2012;COLLECTIVITE TERRITORIALE DE SAINTPPIERRE ET MIQUELON*TERRITORIAL COLLECTIVITY OF SAINT PIERRE AND MIQUELON;no;;-;-;;Saint Pierre and Miquelon;;;Saint Pierre and Miquelon;Operational;;20.600.000,00 €;Appui au Schéma de Développement Stratégique;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.288479.01.1;2012;NOUVELLE CALEDONIE*NEW CALEDONIA;no;;-;-;;New Caledonia;;;New Caledonia;Operational;;19.810.000,00 €;Appui budgétaire sectoriel pour la Formation Professionnelle;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.300165.01.1;2012;REPUBLIKA Y U RWANDA*REPUBLIQUE RWANDAISE REPUBLIC OF RWANDA;no;;-;-;;Rwanda;;;Rwanda;Operational;;19.800.000,00 €;SBS for Decentralised Agriculture - Pro Forma Commitment of Rider Funds (Rider increases the SBS by 20 000 000 EUR);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.305542.01.1;2012;REPUBLICA DE MOCAMBIQUE*REPUBLIQUEDU MOZAMBIQUE REPUBLIC OF MOZAMBIQUE;no;;-;-;;Mozambique;;;Mozambique;Operational;;19.000.000,00 €;Sector Budget Support - health - extension;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.298636.01.1;2012;CARIBBEAN COMMUNITY*;yes;;TURKEYEN GREATER GEORGETOWN;GEORGETOWN;;Guyana;;;Caribbean Region;Operational;;18.025.461,00 €;10th EDF CARICOM Single Market & Economy and Economic Integation;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Grant
AID.CTR.282975.01.1;2012;CENTRE POUR LE DEVELOPPEMENT DEL'ENTREPRISE*CDE;yes;;AV EDMOND VAN NIEUWEHUYSE 2A;BRUXELLES;1160;Belgium;;;Intra ACP Allocations;Operational;;18.000.000,00 €;CDE Budget 2012;Directorate-General for Development and Cooperation — EuropeAid;Intra ACP - CDE (04.20.11.01);European Development Fund (10th EDF);Grant
AID.CTR.266730.01.2;2012;REPUBLIC OF NAMIBIA*REPUBLIQUE DE NAMIBIE;no;;-;-;;Namibia;;;Namibia;Operational;;16.500.000,00 €;NAWASA Budget Support;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.286620.01.1;2012;SAINT HELENA ASCENSION AND TRISTANDA CUNHA* SAINTE HELENE ASCENSION ET TRISTAN DA CUNHA;no;;-;-;;Saint Helena;;;Saint Helena;Operational;;16.400.000,00 €;Support for infrastructure development in Saint Helena, Ascension and Tristan da Cunha;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.301494.01.1;2012;MONTSERRAT*;no;;-;-;;Montserrat;;;Montserrat;Operational;;15.390.000,00 €;General Budget support 10th EDF;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.282313.01.1;2012;COMMUNAUTE ECONOMIQUE DES ETATS DEL'AFRIQUE CENTRALE*C.E.E.A.C;yes;;HAUT DE GUE GUE;LIBREVILLE;;Gabon;;;Intra ACP Allocations;Operational;;14.300.000,00 €;MICOPAX 1D;Directorate-General for Development and Cooperation — EuropeAid;Intra ACP - Peace Facility (04.20.50);European Development Fund (10th EDF);Grant
AID.CTR.303408.01.1;2012;REPUBLIC OF SIERRA LEONE*REPUBLIQUEDE SIERRA LEONE;no;;-;-;;Sierra Leone;;;Sierra Leone;Operational;;14.000.000,00 €;MDBS : Fixed and Variable Tranches 2012;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.294123.01.1;2012;ANGUILLA*;no;;-;-;;Anguilla;;;Anguilla;Operational;;11.700.000,00 €;10th EDF General Budget Support for Anguilla;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.295645.02.1;2012;RED BARNET FORENING*;yes;DK63407216;ROSENORNS ALLE 12;KOBENHAVN;1634;Denmark;;;Somalia;Operational;;10.125.000,00 €;''''Hormarinta Elmiga'''' (Education for Empowerment Through Cohesive and Harmonised System);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.245974.01.3;2012;REPUBLIQUE DU NIGER*REPUBLIC OF NIGER;no;;-;-;;Niger;;;Niger;Operational;;10.000.000,00 €;Appui budgétaire sectoriel 2010 et 2011 pour la sécurité alimentaire;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.259074.01.2;2012;REPUBLICA DOMINICANA*REPUBLIQUE DOMINICAINE DOMINICAN REPUBLIC;no;;-;-;;Dominican Republic;;;Dominican Republic;Operational;;10.000.000,00 €;general budget support to fight against poverty - specific commitment;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.271135.01.1;2012;REPUBLIQUE D HAITI* REPUBLIC OFHAITI;yes;;-;-;;Haiti;;;Haiti;Operational;;10.000.000,00 €;Appui a l''entretien routier;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.287476.01.1;2012;REPUBLIC OF MAURITIUS*REPUBLIQUE DEMAURICE;no;;-;-;;Mauritius;;;Mauritius;Operational;;10.000.000,00 €;Promoting Sustainable and Equitable Development (Rider 1 to EDF part);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.294216.01.1;2012;COMPAGNIE SAHELIENNE D ENTREPRISESSA C.S.E.*;yes;SN004106203M5042;ROCADE FANN BEL AIR;DAKAR;;Senegal;;;Sierra Leone;Operational;;9.884.527,47 €;Lot 2(A & B):Rehabilitation and Maintenance of the Urban Roads and Risk Mitigation works in Slum areas;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.308511.01.1;2012;EUROPEAN INVESTMENT BANK*BANQUE EUROPEENNE D INVESTISSEMENT;no;;BOULEVARD KONRAD ADENAUER 100;LUXEMBOURG;2950;Luxembourg;;;Guinea (Conakry);Operational;;9.455.604,43 €;Programme d''appui à l''apurement des arriérés de la République de Guinée sur les prêts mobilisant des ressources FED;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.292765.01.1;2012;KINGDOM OF LESOTHO*ROYAUME DU LESOTHO;no;;-;-;;Lesotho;;;Lesotho;Operational;;8.800.000,00 €;1st Fixed Tranche FY 2012;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.308809.01.1;2012;REPUBLIC OF LIBERIA*REPUBLIQUE DU LIBERIA;no;;-;-;;Liberia;;;Liberia;Operational;;8.620.000,00 €;Additional allocation from FLEX 2010 (data 2009) of EUR 8.62 million;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.286928.01.1;2012;ARUBA*;no;;-;-;;Aruba;;;Aruba;Operational;;8.400.000,00 €;Disbursements budget support education Aruba 10th EDF;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.305439.01.1;2012;LANDELL MILLS LIMITED*;yes;GB501874068;BRYER-ASH BUSINESS PARK;TROWBRIDGE;BA14 8HE;United Kingdom;;;Sub-Saharan Africa;Operational;;8.049.099,00 €;technical administrative and  logistical support for the Joint Africa-EU Strategy Support Mechanism;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.292818.01.1;2012;PHYSIKALISCH-TECHNISCHE BUNDESANSTALT*;yes;DE811240952;BUNDESALLEE 100;BRAUNSCHWEIG;38116;Germany;;;Caribbean Region;Operational;;7.799.381,00 €;Technical Barriers to Trade;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Grant
AID.CTR.308749.01.1;2012;OXFAM GB LBG*;yes;GB348454238;JOHN SMITH DRIVE;OXFORD;OX4 2JY;United Kingdom;;;Kenya;Operational;;7.200.000,00 €;ECHO/-HF/EDF/2012/01007;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.295352.01.1;2012;JAMAICA*JAMAIQUE;no;;-;-;;Jamaica;;;Jamaica;Operational;;7.000.000,00 €;Tropical Storm Nicole Rehabilitation;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.310427.01.1;2012;WORLD FOOD PROGRAMME*WFP PROGRAMMEALIMENTAIRE MONDIAL PAM;yes;;VIA CESARE GIULIO VIOLA 68/70;ROMA;00148;Italy;;;Mauritania;Operational;;7.000.000,00 €;Réponses d''urgence et mesures d''atténuation pour les populations affectées par la crise alimentaire 2012 en Mauritanie.;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.295692.01.1;2012;STICHTING CARE NEDERLAND*;yes;NL802388504B01;JUFFROUW IDASTRAAT 11;DEN HAAG;2513 BE;Netherlands;;;Somalia;Operational;;6.825.000,00 €;Support to Puntland Education Sector Programme ''''Waxbarashada Waa Iftiin'''';Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.294007.01.1;2012;KINGDOM OF LESOTHO*ROYAUME DU LESOTHO;no;;-;-;;Lesotho;;;Lesotho;Operational;;6.600.000,00 €;1st Variable Tranche FY 2012;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.290208.01.1;2012;KINGDOM OF LESOTHO*ROYAUME DU LESOTHO;no;;-;-;;Lesotho;;;Lesotho;Operational;;6.500.000,00 €;2nd Fixed Tranche SBS-FY 12/13;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.309887.01.1;2012;CENTRE TECHNIQUE DE COOPERATION AGRCOLE ET RURAL*THE TECHNICAL CENTREFOR AGRICULTURAL AND RURAL CO-OPERATION;yes;;AGRO BUSINESS PARK 2;WAGENINGEN;6708 AY;Netherlands;;;ACP Countries;Operational;;6.164.000,00 €;OPERATING GRANT CTA 2013;Directorate-General for Development and Cooperation — EuropeAid;Intra ACP - CTA (04.20.11.02);European Development Fund (10th EDF);Grant
AID.CTR.304263.01.2;2012;COMMONWEALTH OF DOMINICA*COMMUNAUTEDE LA DOMINIQUE;no;;-;-;;Dominica;;;Dominica;Operational;;6.139.660,00 €;General Budget Support 10th EDF;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.305606.01.1;2012;KINGDOM OF LESOTHO*ROYAUME DU LESOTHO;no;;-;-;;Lesotho;;;Lesotho;Operational;;6.000.000,00 €;First Variable Tranche FY 2010/2011;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.288807.01.1;2012;UNITED NATIONS POPULATION FUND*UNFPA FONDS DES NATIONS UNIES POUR LA POPULATION FNUAP;yes;;EAST 42ND STREET 220;NEW YORK;10017;United States;;;Niger;Operational;;5.523.983,00 €;Appui au 4ème Recensement général de la population au Niger;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.310892.01.1;2012;CONCERN WORLDWIDE LBG*;yes;IE0086788H;LOWER CAMDEN STREET 52-55;DUBLIN;2;Ireland;;;Haiti;Operational;;5.141.537,00 €;Programme d''appui à la reconstruction et à l''aménagement des quartiers de Grand Ravine;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.303965.01.2;2012;GRENADA* GRENADE;no;;-;-;;Grenada;;;Grenada;Operational;;5.000.000,00 €;General Budget Support 10th EDF;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.308851.01.1;2012;REPUBLIC OF LIBERIA*REPUBLIQUE DU LIBERIA;no;;-;-;;Liberia;;;Liberia;Operational;;5.000.000,00 €;Additional allocation from NIP education sector of EUR 5 million;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.285337.01.1;2012;AIRTRAFFIC LTD*AT;yes;;LENGAI HOUSE SECOND FL WILSON AIRP;NAIROBI;00606;Kenya;;;Somalia;Operational;;4.997.100,00 €;EC Flight Service for Somalia;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.307571.01.1;2012;WORLD FOOD PROGRAMME*WFP PROGRAMMEALIMENTAIRE MONDIAL PAM;yes;;VIA CESARE GIULIO VIOLA 68/70;ROMA;00148;Italy;;;Burkina Faso;Operational;;4.800.000,00 €;PROGRAMME D’APPUI À L''AIDE ALIMENTAIRE ET NUTRITIONNELLE  DES POPULATIONS VULNÉRABLES DES ZONES TOUCHÉES PAR LA CRISE ALIMENTAIRE  DE 2012 AU BURKINA FASO;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.306429.01.1;2012;ICON-INSTITUT PRIVATE SECTOR GMBH*ICON PRIVATE;yes;DE123056951;VAN GROOTE STRASSE 28;KOLN;50968;Germany;;;UK territories not allocated;Operational;;4.325.220,00 €;Technical Assistance to OCTA;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.310886.01.1;2012;SOLIDARITES INTERNATIONAL ASSOCIATION*;yes;;RUE KLOCK 50;CLICHY;92110;France;;;Haiti;Operational;;4.269.049,65 €;Projet intégré de reconstruction, d’aménagement urbain et de développement économique du quartier de Christ-Roi;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.299759.01.1;2012;CARIBBEAN COMMUNITY*;yes;;TURKEYEN GREATER GEORGETOWN;GEORGETOWN;;Guyana;;;Caribbean Region;Operational;;4.200.000,00 €;10th EDF Institutional Support for CARIFORUM/EU Development Cooperation and EPA Development;Directorate-General for Development and Cooperation — EuropeAid;Regional indicative programme (02.40.10);European Development Fund (10th EDF);Grant
AID.CTR.308479.01.1;2012;HELP - HILFE ZUR SELBSTHILFE EV*;yes;;REUTERSTRASSE 159;BONN;53113;Germany;;;Zimbabwe;Operational;;4.000.000,00 €;Improved food, nutrition and income security of resource poor farming house-holds in semi-arid regions;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.298771.01.1;2012;UNITED NATIONS CHILDREN'S FUND*UNICEF LE FONDS DES NATIONS UNIES POURL'ENFANCE;yes;;UNITED NATIONS PLAZA 3;NEW YORK;10017;United States;;;Somalia;Operational;;3.744.749,00 €;Improving Urban Water Service Delivery in Somaliland;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.276741.01.2;2012;REPUBLICA DOMINICANA*REPUBLIQUE DOMINICAINE DOMINICAN REPUBLIC;no;;-;-;;Dominican Republic;;;Dominican Republic;Operational;;3.600.000,00 €;Apoyo Presupuestario Sectorial Competitividad-Compromiso Individual.;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.295718.01.1;2012;THE SAVE THE CHILDREN FUND LBG*;yes;;ST JOHN S LANE 1;LONDON;EC1M 4AR;United Kingdom;;;Somalia;Operational;;3.525.000,00 €;Support to Education for Refugees in Dadaab Refugee Camp (SERD);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.310881.01.1;2012;CROIX ROUGE FRANCAISE ASSOCIATION*;yes;FR20775672272;RUE DIDOT 98;PARIS;75014;France;;;Haiti;Operational;;3.362.101,98 €;Appui à la réinstallation des communautés urbaines affectées par le séisme;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.309717.01.1;2012;DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*;yes;DE113891176;DAG HAMMARSKJOLD WEG 1-5;ESCHBORN;65760;Germany;;;Zimbabwe;Operational;;3.200.000,00 €;Improved quality of and access to agricultural extension services for sustainable practices in agriculture and natural resource management;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.296394.01.1;2012;INSTITUT NATIONAL DE LA STATISTIQUE DU CAMEROUN*INS;yes;;PO BOX 134;YAOUNDE;;Cameroon;;;Cameroon;Operational;;3.030.000,00 €;PARFIP Volet 2 Statistique: appui à la mise en oeuvre de la Stratégie Nationale De la Statistique (SNDS);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.299424.01.1;2012;REPUBLIC OF MAURITIUS*REPUBLIQUE DEMAURICE;no;;-;-;;Mauritius;;;Mauritius;Operational;;3.000.000,00 €;Promoting Sustainable and Equitable Development (Rider No 2 to EDF part);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.299745.01.1;2012;CARE DEUTSCHLAND-LUXEMBURG EV*;yes;;DREIZEHNMORGENWEG 6;BONN;53175;Germany;;;Kenya;Operational;;3.000.000,00 €;ECHO/-HF/EDF/2012/01001;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Echo (02.10.21.20);European Development Fund (10th EDF);Grant
AID.CTR.307914.01.1;2012;ISTITUTO INTERNAZIONALE DI DIRITTOPER LO SVILUPPO (IDLI)*INTERNATIONAL DEVELOPMENT LAW ORGANIZATION IDLO;yes;;VIALE VATICANO 106;ROMA;00165;Italy;;;South Sudan;Operational;;3.000.000,00 €;The Legal Training Institute – Foundations for the Future;Directorate-General for Development and Cooperation — EuropeAid;Macroeconomic support (02.10.10.10);European Development Fund (9th EDF);Grant
AID.CTR.263921.01.1;2012;DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*;yes;DE113891176;DAG HAMMARSKJOLD WEG 1-5;ESCHBORN;65760;Germany;;;African Union;Operational;;2.997.000,00 €;APF TA Service Contract;Directorate-General for Development and Cooperation — EuropeAid;Intra ACP - Peace Facility (04.20.50);European Development Fund (10th EDF);Public procurement and other expenditure
AID.32871.1;2012;UNIVERSIDADE DO PORTO*;no;PT501413197;PRACA GOMES TEIXEIRA;PORTO;4099 002;Portugal;;;;Operational;;2.942.600,00 €;"ERASMUS MUNDUS PARTNERSHIPS PROGRAMME - ACTION 2 MOBILITY GRANTS - CALL EACEA/42/11	ANGLE - ACADEMIC NETWORKING, A GATE FOR LEARNING EXPERIENCES";Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.307154.01.1;2012;REPIBLIK SESEL*REPUBLIC OF SEYCHELLES REPUBLIQUE DES SEYCHELLES;no;;-;-;;Seychelles;;;Seychelles;Operational;;2.700.000,00 €;Fixed Tranche - MTES;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.32873.1;2012;UNIVERSITE D'AIX MARSEILLE*AMU;yes;FR84130015332;BOULEVARD CHARLES LIVON 58;MARSEILLE;13284;France;;;;Operational;;2.524.250,00 €;"ERASMUS MUNDUS PARTNERSHIPS PROGRAMME - ACTION 2 MOBILITY GRANTS - CALL EACEA/42/11	
STETTIN - SCIENCE & TECHNOLOGY EDUCATION TEACHERS'' TRAINING INTERNATIONAL NETWORK";Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.288896.01.2;2012;ASSOCIATION OF EUROPEAN PARLIAMENTARIANS WITH AFRICA VERENIGING*AWEPA;yes;;PRINS HENDRIKKADE 48-G;AMSTERDAM;1012 AC;Netherlands;;;South Sudan;Operational;;2.502.147,20 €;Capacity Building Programme for the South Sudan National Legislative Assembly and the State Assemblies of South Sudan;Directorate-General for Development and Cooperation — EuropeAid;Macroeconomic support (02.10.10.10);European Development Fund (9th EDF);Grant
AID.CTR.300814.01.1;2012;DEUTSCHE WELTHUNGERHILFE EV*GERMANAGRO ACTION;yes;DE812801234;FRIEDRICH EBERT STRASSE 1;BONN;53173;Germany;;;ACP Countries;Operational;;2.500.000,00 €;MDG SANITATION: WHOLE SANITATION CHAIN PROGRAM FOR THE POOR IN URBAN AND PERI-URBAN OF AMHARA;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
