Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;Geographical Zone;Expense Type;Co-financing rate;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
AID.CTR.240742.01.2;2010;REPUBLIC OF MAURITIUS*REPUBLIQUE DEMAURICE;no;;-;-;;Mauritius;;Mauritius;Operational;N.A.;33.500.000,00 €;Promoting Sustainable and Equitable Development;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.244936.01.1;2010;REPUBLIKA Y U RWANDA*REPUBLIQUE RWANDAISE REPUBLIC OF RWANDA;no;;-;-;;Rwanda;;Rwanda;Operational;N.A.;30.000.000,00 €;Disbursement of 3rd base tranche (27,000,000) and annual performance tranche (3,000,000);Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.243421.01.1;2010;REPUBLIQUE DU BENIN*REPUBLIC OF BENIN;no;;-;-;;Benin;;Benin;Operational;N.A.;24.300.000,00 €;Appui Budgétaire au Fonds Routier sous 10ème FED;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.247746.01.1;2010;REPUBLIC OF MALAWI*REPUBLIQUE DU MALAWI;no;;-;-;;Malawi;;Malawi;Operational;N.A.;24.250.000,00 €;Poverty Reduction Budget Support III - Release of 3rd Instalment;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.229173.01.1;2010;REPUBLIC OF UGANDA*REPUBLIQUE DEL OUGANDA;no;;-;-;;Uganda;;Uganda;Operational;N.A.;23.000.000,00 €;Second fixed tranche;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.258454.01.1;2010;KINGDOM OF LESOTHO*ROYAUME DU LESOTHO;no;;-;-;;Lesotho;;Lesotho;Operational;N.A.;21.000.000,00 €;V-FLEX 2010 ;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.239048.01.1;2010;REPUBLIC OF LIBERIA*REPUBLIQUE DU LIBERIA;no;;-;-;;Liberia;;Liberia;Operational;N.A.;19.000.000,00 €;BSMS instalments 2009/10 and 2010/11;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.256131.01.1;2010;REPUBLIC OF MALAWI*REPUBLIQUE DU MALAWI;no;;-;-;;Malawi;;Malawi;Operational;N.A.;19.000.000,00 €;V-FLEX 2010 - EUR 19 MILLION;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.259720.01.1;2010;CENTRE POUR LE DEVELOPPEMENT DEL'ENTREPRISE*;yes;;AVENUE HERRMANN DEBROUX 52;BRUXELLES;1160;Belgium;;Intra ACP Allocations;Operational;100 %;18.000.000,00 €;CDE Budget 2011;Directorate-General for Development and Cooperation ? EuropeAid;Intra ACP - CDE (04.20.11.01);European Development Fund (10th EDF);Grant
AID.CTR.238916.01.1;2010;JAMAICA*JAMAIQUE;no;;-;-;;Jamaica;;Jamaica;Operational;N.A.;17.000.000,00 €;Committment for FLEX fixed tranche - application year 2008;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.240814.01.1;2010;REPUBLIQUE D HAITI* REPUBLIC OFHAITI;no;;-;-;;Haiti;;Haiti;Operational;N.A.;17.000.000,00 €;Appui budgétaire MEF tranche fixe 2009-2010;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.259717.01.1;2010;CENTRE TECHNIQUE DE COOPERATION AGRCOLE ET RURAL*THE TECHNICAL CENTREFOR AGRICULTURAL AND RURAL CO-OPERATION;yes;;AGRO BUSINESS PARK 2;WAGENINGEN;6708 AY;Netherlands;;ACP Countries;Operational;98.77 %;16.000.000,00 €;CTA Budget 2011;Directorate-General for Development and Cooperation ? EuropeAid;Intra ACP - CTA (04.20.11.02);European Development Fund (10th EDF);Grant
AID.CTR.232939.01.1;2010;REPUBLICA DOMINICANA*REPUBLIQUE DOMINICAINE DOMINICAN REPUBLIC;no;;-;-;;Dominican Republic;;Dominican Republic;Operational;N.A.;15.330.000,00 €;PAPSE Education SBS Add.no. 1 with extension of 1 year of operational and execution periods & increase of financial ceiling ;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.243215.01.1;2010;MALO SA OLOTU TUTO ATASI O SAMOA*ETAT INDEPENDANT DES SAMOA INDEPENDENT STATE OF SAMOA;no;;-;-;;Samoa;;Western Samoa;Operational;N.A.;15.000.000,00 €;Water and Sanitation Sector Budget Support;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.249240.01.1;2010;REPUBLIKA Y U BURUNDI*REPUBLIQUE DUBURUNDI REPUBLIC OF BURUNDI;no;;-;-;;Burundi;;Burundi;Operational;N.A.;15.000.000,00 €;PABRE - Tranche supplémentaire - FLEX Vulnérabilité 2010;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.254488.01.1;2010;SOLOMON ISLANDS* LES ILES SALOMON;no;;-;-;;Solomon Islands;;Solomon Islands;Operational;N.A.;15.000.000,00 €;Solomon Islands Economic Recovery Assistance Programme;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.230765.01.1;2010;COMMUNAUTE ECONOMIQUE DES ETATS DEL'AFRIQUE CENTRALE*C.E.E.A.C;yes;;HAUT DE GUE GUE;LIBREVILLE;;Gabon;;Intra ACP Allocations;Operational;47.63 %;14.700.000,00 €;MICOPAX 1B;Directorate-General for Development and Cooperation ? EuropeAid;Intra ACP - Peace Facility (04.20.50);European Development Fund (10th EDF);Grant
AID.CTR.215397.01.3;2010;BURKINA FASO*;no;;-;-;;Burkina Faso;;Burkina Faso;Operational;N.A.;14.000.000,00 €;Contrat OMD - appui budgétaire pour la croissance et la réduction de la pauvreté 2009 -2014;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.257822.01.1;2010;REPUBLIQUE DU BENIN*REPUBLIC OF BENIN;no;;-;-;;Benin;;Benin;Operational;N.A.;13.000.000,00 €;Apppui budgétaire général à la SCRP-10ème FED;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.258324.01.2;2010;REPUBLIQUE CENTRAFRICAINE*CENTRAL AFRICAN REPUBLIC;no;;-;-;;Central African Republic;;Central African Republic;Operational;N.A.;13.000.000,00 €;Décaissement V-Flex 2010 + Tranche 2010 ASERCA II;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.259067.01.1;2010;REPUBLIC OF LIBERIA*REPUBLIQUE DU LIBERIA;no;;-;-;;Liberia;;Liberia;Operational;N.A.;12.500.000,00 €;V-flex individual commitment;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.230138.01.1;2010;EUROPEAN INVESTMENT BANK*BANQUE EUROPEENNE D INVESTISSEMENT;no;;BOULEVARD KONRAD ADENAUER 100;LUXEMBOURG;2950;Luxembourg;;Ivory Coast;Operational;N.A.;12.135.787,42 €;Programme d''Appui à l''Apurement des Arriérés de la dette multilatérale de la Côte d''Ivoire envers la BEI;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.212137.02.2;2010;REPUBLICA DE MOCAMBIQUE*REPUBLIQUEDU MOZAMBIQUE REPUBLIC OF MOZAMBIQUE;no;;-;-;;Mozambique;;Mozambique;Operational;N.A.;12.000.000,00 €;MDG contract - Mozambique- ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.253406.01.1;2010;REPUBLIQUE TOGOLAISE*TOGOLESE REPUBLIC;no;;-;-;;Togo;;Togo;Operational;N.A.;12.000.000,00 €;Togo VFLEX 2010;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.212137.02.3;2010;REPUBLICA DE MOCAMBIQUE*REPUBLIQUEDU MOZAMBIQUE REPUBLIC OF MOZAMBIQUE;no;;-;-;;Mozambique;;Mozambique;Operational;N.A.;11.670.000,00 €;MDG contract - Mozambique- ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.245974.01.1;2010;REPUBLIQUE DU NIGER*REPUBLIC OF NIGER;no;;-;-;;Niger;;Niger;Operational;N.A.;10.500.000,00 €;Appui budgétaire sectoriel 2010 et 2011 pour la sécurité alimentaire;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.250624.01.1;2010;LEFATSHE LA BOTSWANA*REPUBLIC OF BOTSWANA REPUBLIQUE DU BOTSWANA;no;;-;-;;Botswana;;Botswana;Operational;N.A.;10.500.000,00 €;2009 FLEX allocation - Budget support tranche;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.240080.01.1;2010;AFRICAN UNION*UNION AFRICAINE UNIAO AFRICANA;yes;;ROOSEVELT STREET;ADDIS ABABA;3242;Ethiopia;;Intra ACP Allocations;Operational;31.58 %;10.000.000,00 €;Support to the employmen of AUC personnel working in the Peace and Security Programme (pool-funding);Directorate-General for Development and Cooperation ? EuropeAid;Intra ACP - Peace Facility (04.20.50);European Development Fund (10th EDF);Grant
AID.CTR.258307.01.1;2010;Confidential;no;;*****;*****;******;Sierra Leone;;CONFIDENTIAL;Operational;N.A.;10.000.000,00 €;CONFIDENTIAL;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.215397.01.2;2010;BURKINA FASO*;no;;-;-;;Burkina Faso;;Burkina Faso;Operational;N.A.;9.420.000,00 €;Contrat OMD - appui budgétaire pour la croissance et la réduction de la pauvreté 2009 -2014;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.256439.01.1;2010;ANTIGUA AND BARBUDA*ANTIGUA ET BARBUDES;no;;-;-;;Antigua and Barbuda;;Antigua and Barbuda;Operational;N.A.;9.000.000,00 €;Budget Support Committment for the General Budget Support programme - Antigua and Barbuda;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.258099.01.1;2010;REPUBLICA DE CABO VERDE*REPUBLIQUEDU CAP VERT REPUBLIC OF CAPE VERDE;no;;-;-;;Cape Verde;;Cape Verde;Operational;N.A.;9.000.000,00 €;Appui budgétaire à la stratégie de croissance et de réduction de la pauvreté;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.242002.01.1;2010;REPUBLIC OF GHANA* REPUBLIQUE DUGHANA;no;;-;-;;Ghana;;Ghana;Operational;N.A.;8.000.000,00 €;GHANA - Natural Resources and Environmental Governance Sector Budget Support Programme;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.258661.01.1;2010;UNIVERSITY OF THE SOUTH PACIFIC*;yes;;LAUCALA BAY CAMPUS;SUVA;;Fiji;;Pacific Region;Operational;100 %;8.000.000,00 €;Support to the Global Climate Change Alliance (GCCA) through capacity building, community engagement and applied research ;Directorate-General for Development and Cooperation ? EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.252694.01.1;2010;UNITED NATIONS OFFICE FOR PROJECT SERVICES*UNOPS BUREAU DES NATIONS UNIES POUR LES SERVICES D'APPUI AUX PROJETS;yes;;MIDTERMOLEN 3;KOBENHAVN;2100;Denmark;;Ivory Coast;Operational;100 %;7.827.631,00 €;Appui à la logistique électorale;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.228997.01.2;2010;REPIBLIK SESEL*REPUBLIC OF SEYCHELLES REPUBLIQUE DES SEYCHELLES;no;;-;-;;Seychelles;;Seychelles;Operational;N.A.;7.500.000,00 €;2009 Fixed tranche - SERP Programme Seychelles;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.241142.01.1;2010;WORLD FOOD PROGRAMME*WFP PROGRAMMEALIMENTAIRE MONDIAL PAM;yes;;VIA CESARE GIULIO VIOLA 68/70;ROMA;00148;Italy;;Niger;Operational;100 %;7.000.000,00 €;Amélioration de l''état nutritionnel et renforcement des moyens d''existence des populations vulnérables au Niger;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.245974.01.2;2010;REPUBLIQUE DU NIGER*REPUBLIC OF NIGER;no;;-;-;;Niger;;Niger;Operational;N.A.;6.900.000,00 €;Appui budgétaire sectoriel 2010 et 2011 pour la sécurité alimentaire;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.255390.01.1;2010;THE FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS*FAO ORGANISATION DES NATIONS UNIES POUR L'ALIENTATION ET L'AGRICULTURE;yes;;VIALE DELLE TERME DI CARACALLA;ROMA;00153;Italy;;Zimbabwe;Operational;100 %;6.895.000,00 €;Support to smallholder farmers in Zimbabwe through Improved agricultural (crop and livestock) productivity and market-based interventions 2010.;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.243761.01.1;2010;INSTITUTO PORTUGUES DE APOIO AO DESENVOLVIMENTO*;no;;AVENIDA DA LIBERDADE 192 - 2;LISBOA;1250 147;Portugal;;Mozambique;Operational;N.A.;6.580.000,00 €;Support to the Institutional Development of the Ministry of Interior;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.248185.01.1;2010;UNITED NATIONS DEVELOPMENT PROGRAMME*UNDP PROGRAMME DES NATIONS UNIESPOUR LE DEVELOPPEMENT PNUD;yes;;UNITED NATIONS PLAZA 1;NEW YORK;10017;United States;;Central African Republic;Operational;42.07 %;6.200.000,00 €;Projet d''Appui au Cycle Electoral 2010 de la République Centrafricaine;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.243796.01.1;2010;KINGDOM OF LESOTHO*ROYAUME DU LESOTHO;no;;-;-;;Lesotho;;Lesotho;Operational;N.A.;6.000.000,00 €;1st fixed tranche GBS  - FY 09/10;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.244898.01.1;2010;KINGDOM OF LESOTHO*ROYAUME DU LESOTHO;no;;-;-;;Lesotho;;Lesotho;Operational;N.A.;6.000.000,00 €;2nd Fixed Tranche GBS - FY 10/11;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.245061.01.1;2010;KINGDOM OF LESOTHO*ROYAUME DU LESOTHO;no;;-;-;;Lesotho;;Lesotho;Operational;N.A.;6.000.000,00 €;3rd Fixed Tranche - GBS;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.255050.01.1;2010;DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*;yes;;DAG HAMMARSKJOLD WEG 1-5;ESCHBORN;65760;Germany;;Zambia;Operational;80 %;6.000.000,00 €;Support to the strengthening of the Justice Sector: Access to Justice;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.241185.01.1;2010;COMMONWEALTH OF DOMINICA*COMMUNAUTEDE LA DOMINIQUE;no;;-;-;;Dominica;;Dominica;Operational;N.A.;5.270.000,00 €;Budget Support for Govt of Dominica ;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.241691.01.1;2010;GRM INTERNATIONAL LIMITED*;yes;;GLOUCESTER PLACE 57-59;LONDON;W1U 8JH;United Kingdom;;Zimbabwe;Operational;100 %;5.140.000,00 €;Protracted Relief Programme;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.229302.01.1;2010;UNITED NATIONS CHILDREN'S FUND*UNICEF LE FONDS DES NATIONS UNIES POURL'ENFANCE;yes;;UNITED NATIONS PLAZA 3;NEW YORK;10017;United States;;Somalia;Operational;89.9 %;5.000.000,00 €;Integrated Capacity Development for Somali Education Administrations (ICDSEA);Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.233861.01.1;2010;AGENCE FRANCAISE DE DEVELOPPEMENT*;no;;RUE ROLAND BARTHES 5;PARIS 12;75598;France;;Senegal;Operational;N.A.;5.000.000,00 €;Convention Délégation AFD-DUE;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.243070.01.1;2010;REPUBLIKA Y U RWANDA*REPUBLIQUE RWANDAISE REPUBLIC OF RWANDA;no;;-;-;;Rwanda;;Rwanda;Operational;N.A.;5.000.000,00 €;payment 2d fixed tranche;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.258324.01.1;2010;REPUBLIQUE CENTRAFRICAINE*CENTRAL AFRICAN REPUBLIC;no;;-;-;;Central African Republic;;Central African Republic;Operational;N.A.;4.700.000,00 €;Décaissement V-Flex 2010 + Tranche 2010 ASERCA II;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.245169.01.1;2010;KINGDOM OF LESOTHO*ROYAUME DU LESOTHO;no;;-;-;;Lesotho;;Lesotho;Operational;N.A.;4.500.000,00 €;Variable Tranche - FY 11/12;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.239478.01.1;2010;REPUBLIKA Y U RWANDA*REPUBLIQUE RWANDAISE REPUBLIC OF RWANDA;no;;-;-;;Rwanda;;Rwanda;Operational;N.A.;4.000.000,00 €;1st payment (fixed tranche);Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.237484.01.1;2010;THE FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS*FAO ORGANISATION DES NATIONS UNIES POUR L'ALIENTATION ET L'AGRICULTURE;yes;;VIALE DELLE TERME DI CARACALLA;ROMA;00153;Italy;;Somalia;Operational;81.4 %;3.500.000,00 €;Somalia Water and Land Information Management System (SWALIM) Phase IV;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.245160.01.1;2010;KINGDOM OF LESOTHO*ROYAUME DU LESOTHO;no;;-;-;;Lesotho;;Lesotho;Operational;N.A.;3.500.000,00 €;Variable Tranche - FY 10/11;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.253508.01.1;2010;GRENADA* GRENADE;no;;-;-;;Grenada;;Grenada;Operational;N.A.;3.500.000,00 €;Budget Support VFlex allocation 2010;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.239826.01.1;2010;REPUBLIKA Y U RWANDA*REPUBLIQUE RWANDAISE REPUBLIC OF RWANDA;no;;-;-;;Rwanda;;Rwanda;Operational;N.A.;3.000.000,00 €;1st payment fixed tranche - Appui budgétaire sectoriel justice;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.241146.01.1;2010;THE FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS*FAO ORGANISATION DES NATIONS UNIES POUR L'ALIENTATION ET L'AGRICULTURE;yes;;VIALE DELLE TERME DI CARACALLA;ROMA;00153;Italy;;Niger;Operational;100 %;3.000.000,00 €;Assistance d''urgence aux éleveurs affectés par le déficit 2009 au Niger;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.244770.01.1;2010;REPUBLIKA Y U RWANDA*REPUBLIQUE RWANDAISE REPUBLIC OF RWANDA;no;;-;-;;Rwanda;;Rwanda;Operational;N.A.;3.000.000,00 €;2nd disbursement fixed tranche SBS Justice, reconciliation law and Order;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
