Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;Geographical Zone;Expense Type;Co-financing rate;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
AID.CTR.268479.01.1;2011;REPUBLIKA Y U RWANDA*REPUBLIQUE RWANDAISE REPUBLIC OF RWANDA;no;;-;-;;Rwanda;;Rwanda;Operational;N.A.;20.000.000,00 €;Sector budget support for social protection;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.277278.01.1;2011;FUNDO DE ESTRADAS*;no;;AV MARTIRES DE INHAMINGA 170 SL;MAPUTO;;Mozambique;;Mozambique;Operational;N.A.;20.000.000,00 €;Budget support to Road maintenance;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.269995.01.1;2011;GAVI ALLIANCE FONDATION*;yes;;CHEMIN DES MINES 2;GENEVE;1202;Switzerland;;ACP Countries;Operational;100 %;19.900.000,00 €;Increasing access to new and under-used vaccines in GAVI-eligible ACP countries ;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.259272.01.1;2011;COMMUNAUTE ECONOMIQUE DES ETATS DEL'AFRIQUE CENTRALE*C.E.E.A.C;yes;;HAUT DE GUE GUE;LIBREVILLE;;Gabon;;Intra ACP Allocations;Operational;53.46 %;19.500.000,00 €;MICOPAX 1C;Directorate-General for Development and Cooperation — EuropeAid;Intra ACP - Peace Facility (04.20.50);European Development Fund (10th EDF);Grant
AID.CTR.266730.01.1;2011;REPUBLIC OF NAMIBIA*REPUBLIQUE DE NAMIBIE;no;;-;-;;Namibia;;Namibia;Operational;N.A.;18.000.000,00 €;NAWASA Budget Support;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.282841.01.1;2011;CENTRE TECHNIQUE DE COOPERATION AGRCOLE ET RURAL*THE TECHNICAL CENTREFOR AGRICULTURAL AND RURAL CO-OPERATION;yes;;AGRO BUSINESS PARK 2;WAGENINGEN;6708 AY;Netherlands;;Intra ACP Allocations;Operational;98.84 %;17.094.794,00 €;CTA Budget 2012;Directorate-General for Development and Cooperation — EuropeAid;Intra ACP - CTA (04.20.11.02);European Development Fund (10th EDF);Grant
AID.CTR.264859.01.1;2011;REPUBLIQUE DEMOCRATIQUE DU CONGO*DEMOCRATIC REPUBLIC OF THE CONGO;no;;-;-;;Congo (Democratic Republic of);;Congo (Democratic Republic of the);Operational;N.A.;14.491.986,00 €;pro forma contrat pour le décaissement de la deuxième tranche de l''appui budgétaire V-FLEX;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.264677.01.1;2011;REPUBLIC OF TRINIDAD AND TOBAGO*REPUBLIQUE DE TRINIDAD ET TOBAGO;no;;-;-;;Trinidad and Tobago;;Trinidad and Tobago;Operational;N.A.;14.100.000,00 €;Fixed and Variable tranches - Support to Enabling Competitive Business in Trinidad and Tobago;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.212417.01.2;2011;REPUBLIQUE DU SENEGAL*REPUBLIC OFSENEGAL;no;;-;-;;Senegal;;Senegal;Operational;N.A.;11.800.000,00 €;Appui budgétaire à la Stratégie de Réduction de la Pauvreté;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.255139.01.1;2011;DELIVERY OF ADVANCED NETWORK TECHNOLOGY TO EUROPE LIMTED*;yes;GB599731672;GARSINGTON ROAD 9400;OXFORD;OX4 2HN;United Kingdom;;Reserve / Not allocated by region;Operational;80 %;11.800.000,00 €;Africa Connect;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.268382.01.1;2011;REPUBLIKA Y U RWANDA*REPUBLIQUE RWANDAISE REPUBLIC OF RWANDA;no;;-;-;;Rwanda;;Rwanda;Operational;N.A.;10.800.000,00 €;SBS for Decentralised Agriculture - pro forma commitment of funds for 2nd half period;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.266069.01.1;2011;DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*;no;DE113891176;DAG HAMMARSKJOLD WEG 1-5;ESCHBORN;65760;Germany;;Ethiopia;Operational;N.A.;10.476.190,00 €;Private Sector Development and Trade -Engineering Capacity Building Programme ( ECBP);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.268768.01.1;2011;KONGERIGET DANMARKROYAUME DU DANEMARKKINGDOM OF DENMARK;no;;-;-;;Denmark;;Benin;Operational;100 %;9.700.000,00 €;Pistes rurales / désenclavement;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.271080.01.1;2011;UICN, UNION INTERNATIONAL POUR LA CONSERVATION DE LA NATURE ET DE SESRESSOURCES*;yes;;RUE MAUVERNEY 28;GLAND;1196;Switzerland;;Intra ACP Allocations;Operational;86.47 %;9.590.000,00 €;BIOPAMA - Component Protected Areas (IUCN part );Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.267392.01.1;2011;CARIBBEAN COMMUNITY CLIMATE CHANGEENTRE*;yes;;UNIVERSITY OF BELIZE;BELMOPPAN;;Belize;;ACP Countries;Operational;100 %;7.986.775,00 €;Caribbean: Support to the Global Climate Change Alliance (GCCA) under the 10th EDF Intra-ACP financial framework ;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.271799.01.1;2011;REPUBLIQUE TOGOLAISE*TOGOLESE REPUBLIC;no;;-;-;;Togo;;Togo;Operational;N.A.;7.500.000,00 €;TOGO - Appui Budgétaire à la réduction de la pauvreté;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.283197.01.1;2011;SELF-EMPLOYED NATURAL PERSON;yes;*****;*****;*****;*****;Niger;;Niger;Operational;N.A.;7.349.720,67 €;Travaux d''entretien périodique des routes revêtues / Lot n°5: Bandé-Magaria-Fr Nigéria (42 Km);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.265583.01.1;2011;KINGDOM OF LESOTHO*ROYAUME DU LESOTHO;no;;-;-;;Lesotho;;Lesotho;Operational;N.A.;6.500.000,00 €;1st Fixed Tranche SBS -FY 11/12;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.262517.01.1;2011;DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*;no;DE113891176;DAG HAMMARSKJOLD WEG 1-5;ESCHBORN;65760;Germany;;Mali;Operational;N.A.;6.000.000,00 €;Appui institutionnel au développement économique régional auprès des Assemblées Régionales de Ségou et Mopti;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.265131.01.1;2011;COOPERATION TECHNIQUE BELGE CTB SA*;no;BE0264814354;RUE HAUTE 147;BRUXELLES;1000;Belgium;;Mali;Operational;N.A.;6.000.000,00 €;Appui institutionnel au développement économique régional auprès des Assemblées Régionales de Tombouctou, Gao et Kidal;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.270146.01.1;2011;REPUBLIKA Y U RWANDA*REPUBLIQUE RWANDAISE REPUBLIC OF RWANDA;no;;-;-;;Rwanda;;Rwanda;Operational;N.A.;6.000.000,00 €;"SBS Justice, Reconciliation, Law and Order
Final disbursements";Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.279509.01.1;2011;REPUBLIQUE CENTRAFRICAINE*CENTRAL AFRICAN REPUBLIC;no;;-;-;;Central African Republic;;Central African Republic;Operational;N.A.;6.000.000,00 €;Décaissement de la dernière tranche d''ABG (normalement tranche 2011).;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.30357.1;2011;UNIVERSIDADE DO PORTO*;no;PT501413197;PRACA GOMES TEIXEIRA;PORTO;4099 002;Portugal;;;Operational;lump sum and/or flat rate;5.999.825,00 €;"EMIIA2 - PROGRAMME - GRANT FOR MOBILITY UNDER THE CALL EACEA/41/10	
S1L15-204425-PT-PORTO";Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.262706.01.1;2011;PULEANGA TONGA*ROYAUME DES TONGAKINGDOM OF TONGA;no;;-;-;;Tonga;;Tonga;Operational;N.A.;5.500.000,00 €;V Flex Budget Support ;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.263983.01.1;2011;MALO SA OLOTU TUTO ATASI O SAMOA*ETAT INDEPENDANT DES SAMOA INDEPENDENT STATE OF SAMOA;no;;-;-;;Samoa;;Western Samoa;Operational;N.A.;5.500.000,00 €;FIJI WATER AND SANITATION SECTOR PULICY SUPPORT PROGRAMME;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.263302.01.1;2011;UNITED NATIONS OFFICE FOR PROJECT SERVICES*UNOPS BUREAU DES NATIONS UNIES POUR LES SERVICES D'APPUI AUX PROJETS;yes;;MIDTERMOLEN 3;KOBENHAVN;2100;Denmark;;Congo (Democratic Republic of the);Operational;100 %;5.499.426,00 €;Projet d''entretien de la route Kisangani-Lubut-Walikale dans les provinces Orientale, Maniema et Nord Kivu;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.259333.01.1;2011;AGENCE FRANCAISE DE DEVELOPPEMENT*;no;FR80775665599;RUE ROLAND BARTHES 5;PARIS 12;75598;France;;Mali;Operational;N.A.;5.000.000,00 €;Programme d''Appui au Secteur Privé;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.263429.01.1;2011;DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*;no;DE113891176;DAG HAMMARSKJOLD WEG 1-5;ESCHBORN;65760;Germany;;Intra ACP Allocations;Operational;N.A.;5.000.000,00 €;Contribution to the Access and Benefit Sharing (ABS) Capacity Development Initiative;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.267011.01.1;2011;UNITED NATIONS DEVELOPMENT PROGRAMME*UNDP PROGRAMME DES NATIONS UNIESPOUR LE DEVELOPPEMENT PNUD;yes;;UNITED NATIONS PLAZA 1;NEW YORK;10017;United States;;Chad;Operational;100 %;5.000.000,00 €;Appui au Détachement Intégré de Sécurité (DIS);Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.278069.01.1;2011;DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*;no;DE113891176;DAG HAMMARSKJOLD WEG 1-5;ESCHBORN;65760;Germany;;Timor Leste;Operational;N.A.;4.797.150,00 €;Fourth Rural Development Project - Project Purpose I: Strengthening Agricultural Extension;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.264651.01.1;2011;UNITED KINGDOM OF GREAT BRITAIN ANDNORTHERN IRELAND*;no;;-;-;;United Kingdom;;Ghana;Operational;N.A.;4.500.000,00 €;GHANA - Delegation Agreement with DFID for  STAR-GHANA  ;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.275758.02.1;2011;INSTITUTO PORTUGUES DE APOIO AO DESENVOLVIMENTO*;no;;AVENIDA DA LIBERDADE 192 - 2;LISBOA;1250 147;Portugal;;Timor Leste;Operational;N.A.;4.500.000,00 €;Programa de Apoio à Governação Democrática em Timor-Leste – Programa de Justiça;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.279167.01.1;2011;THE DISASTER RECOVERY BOARD ASSOCIATION NON FOR PROFIT*DRB;yes;;WATERLOO GOVERNOR S OFFICE;GRAND TURK;;Turks and Caicos Islands;;Turks and Caicos Islands;Operational;86.32 %;4.165.000,00 €;Disaster recovery Board - TCI Hurricane Ike Reconstruction and Rehabilitation Project;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Grant
AID.CTR.260815.01.1;2011;COMITE PERMANENT INTER-ETATS DE LUTTE CONTRE LA SECHERESSE DANS LE SAHEL*CILSS PERMANENT INTER-STATE COMMITTEE DROUGHT CONTROL SAHEL;yes;;OUAGA 2000 PLACE DE L AFRIQUE;OUAGADOUGOU;03;Burkina Faso;;ACP Countries;Operational;100 %;4.000.000,00 €;Contribution à la mise en œuvre du «Support to the Global Climate Change Alliance (GCCA)»  en Afrique de l''Ouest.;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.269177.01.1;2011;INTERNATIONAL LABOUR ORGANIZATION*ILO ORGANISATION INTERNATIONALE DU TRAVAIL OIT;yes;;ROUTE DES MORILLONS 4;GENEVE 22;1211;Switzerland;;Somalia;Operational;89.75 %;3.500.000,00 €;Improvement of Livelihood of Vulnerable Households in Urban and Peri-urban Areas of Galkayo;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.269426.01.1;2011;UNITED NATIONS HUMAN SETTLEMENTS PROGRAMME*UN-HABITAT PROGRAMME DES NATIONS UNIES POUR LES ETABLISSEMENTSHUMAINS;yes;;.;NAIROBI;;Kenya;;Somalia;Operational;89.89 %;3.500.000,00 €;Sustainable Employment Creation and Improved Livelihoods for Vulnerable Urban Communities in Mogadishu;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.283151.01.1;2011;REPUBLIQUE DU MALI*REPUBLIC OF MALI;no;;-;-;;Mali;;Mali;Operational;N.A.;3.370.000,00 €;Tranche fixe complémentaire 2011 du Contrat OMD;Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.278104.02.1;2011;INSTITUTO PORTUGUES DE APOIO AO DESENVOLVIMENTO*;no;;AVENIDA DA LIBERDADE 192 - 2;LISBOA;1250 147;Portugal;;Timor Leste;Operational;N.A.;3.202.850,00 €;Fourth Rural Development Project - Project Purpose I: Strengthening Agricultural Extension;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.265633.01.1;2011;KONGERIGET DANMARKROYAUME DU DANEMARKKINGDOM OF DENMARK;no;;-;-;;Denmark;;Ghana;Operational;N.A.;3.000.000,00 €;GHANA - DELEGATION AGREEMENT WITH DANIDA FOR BUSAC;Directorate-General for Development and Cooperation — EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.277353.01.1;2011;MALO SA OLOTU TUTO ATASI O SAMOA*ETAT INDEPENDANT DES SAMOA INDEPENDENT STATE OF SAMOA;no;;-;-;;Samoa;;Western Samoa;Operational;N.A.;2.585.000,00 €;Fiji-Samoa-Water & Sanitation Sector Policy Support Programme-2nd B-Envelope Top Up (EUR2.585M);Directorate-General for Development and Cooperation — EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.231781.01.1;2011;STICHTING RURAL ENERGY SERVICES*FRES;yes;;AMSTEL 49;AMSTERDAM;1011 PW;Netherlands;;Guinea-Bissau;Operational;74.63 %;2.500.000,00 €;Providing Solar Home Systems (SHS) to the rural and peri-urban population of the region of Gabú in east Guinea-Bissau on a fee-for-service basis;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.231845.01.1;2011;AGENCE DE PROMOTION DE L'ACCES UNIVERSEL AUX SERVICES*APAUS;yes;;RUE 64 23002 KSAR;NOUAKCHOTT;;Mauritania;;Mauritania;Operational;45.45 %;2.500.000,00 €;Projet : Efficacité énergétique et Optimisation des systèmes d’électrification dans 20  localités défavorisées ;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.231937.01.1;2011;NICE INTERNATIONAL COMPANY BV*;yes;NL008949396B01;GILDENKWARTIER 195;UTRECHT;3511 DH;Netherlands;;Sub-Saharan Africa;Operational;29.61 %;2.500.000,00 €;NICE Roll-Out;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.232617.01.1;2011;GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES*GRET;yes;FR04309123057;AVENUE DE LA BELLE GABRIELLE 45BIS;NOGENT SUR MARNE;94130;France;;Mauritania;Operational;71.43 %;2.500.000,00 €;"Électrification rurale décentralisée interrégionale en Mauritanie
(ERUDI)
";Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.243945.01.1;2011;MERCY CORPS SCOTLAND LBG*;yes;;SCIENNES 40;EDINBURGH;EH9 1NJ;United Kingdom;;ACP Countries;Operational;75 %;2.500.000,00 €;Improved Water, Sanitation, and Hygiene for Goma’s Peri-Urban and Rural Poor;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.244820.01.1;2011;ACTION CONTRE LA FAIM*ACF;yes;;RUE NIEPCE 4;PARIS;75014;France;;Haiti;Operational;73.53 %;2.500.000,00 €;Mobilisation des acteurs locaux en Eau, Assainissement et Hygiène pour la réalisation des Objectifs du Millénaire dans les 3 communes du Bas Nord-Ouest, Haïti;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.244862.01.1;2011;SVENSKA RODA KORSETS CENTRALSTYRELSE*SWEDISH RED CROSS SOCIETY;yes;;HORNSGATAN 54;STOCKHOLM;118 91;Sweden;;Namibia;Operational;64.94 %;2.500.000,00 €;Rural Water Sanitation and Hygiene Promotion Project for Kunene, Ohangwena and Kavango regions in Namibia;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.260461.01.1;2011;CROIX ROUGE FRANCAISE ASSOCIATION*;yes;FR20775672272;RUE DIDOT 98;PARIS 14;75694;France;;ACP Countries;Operational;71.22 %;2.500.000,00 €;Amelioration des conditions sanitaires et d''acces a l''eau des populations du Bas Artibonite.;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.262519.01.1;2011;GROUPE ENERGIES RENOUVELABLES ET ENVIRONNEMENT ET SOLIDARITES ASSOCIATION*GERES;yes;;COURS FOCH 2;AUBAGNE;13400;France;;All Countries;Operational;49.33 %;2.500.000,00 €;Développement de référentiels techniques et économiques pour les filières d''accès à l''énergie à partir de Jatropha en Afrique de l''Ouest.;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.263502.01.1;2011;INNOVATION ENERGIE DEVELOPPEMENTSA*IED;yes;FR34345067581;CHEMIN DE LA CHAUDERAIE 2;FRANCHEVILLE;69340;France;;Cameroon;Operational;44.27 %;2.500.000,00 €;"Dévpt centrale hydraulique Mbakaou Carrière, Djerem Ouest et électrification associée

";Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.264465.01.1;2011;ACTION CONTRE LA FAIM*ACF;yes;;RUE NIEPCE 4;PARIS;75014;France;;ACP Countries;Operational;74.45 %;2.500.000,00 €;Mobilisation des acteurs locaux en Eau, Assainissement et Hygiène pour la réalisation des Objectifs du Millénaire dans la Tapoa;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.264694.01.1;2011;BURKINA FASO*;yes;;-;-;;Burkina Faso;;ACP Countries;Operational;68.2 %;2.500.000,00 €;ELSA (ELectricité pour le SAhel) : mise en œuvre dans la Région du Sahel d’un projet d''accès aux services énergétiques;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.264855.01.1;2011;PLAN INTERNATIONAL UK LIMITED BY GUARANTEE*;yes;GB985617372;CRANWOOD STREET 5 7 FINSGATE;LONDON;EC1V 9LH;United Kingdom;;ACP Countries;Operational;71.35 %;2.500.000,00 €;Projet de Renforcement de l’accès aux Services d’eau Potable, d’Hygiène et d’Assainissement dans la Région du Centre Nord du Burkina Faso;Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
AID.CTR.264902.01.1;2011;PLAN IRELAND CHARITABLE ASSISTANCELIMITED*;yes;;LOWER BAGGOT STREET 126;DUBLIN;2;Ireland;;ACP Countries;Operational;75 %;2.500.000,00 €;"Projet d’Amélioration de l’accès des enfants et
des femmes aux Services d’Eau Potable et
d’Assainissement (PASEPA)";Directorate-General for Development and Cooperation — EuropeAid;Various intra ACP, other programmed sectors (04.20.65);European Development Fund (10th EDF);Grant
