Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;NUTS2;Geographical Zone;Expense Type;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
;;REPUBLICA PORTUGUESA*REPUBLIQUEPORTUGAISE REPUBLIC OF PORTUGAL;no;;-;-;;Portugal;0,00€;;;;0,00€;;;;;
;;COGNITEC SYSTEMS GMBH*;no;DE222661897;GROSSENHAINER STRASSE 101;DRESDEN;01127;Germany;0,00€;;;;0,00€;;;;;
;;UNIVERSIDAD REY JUAN CARLOS*;no;ESQ2803011B;CALLE TULIPAN;MOSTOLES;28933;Spain;0,00€;;;;0,00€;;;;;
;;LAUREA-AMMATTIKORKEAKOULU OY*LAUREA UNIVERSITY OF APPLIED SCIENCES;no;FI10462161;RATATIE 22;VANTAA;01300;Finland;0,00€;;;;0,00€;;;;;
;;ROMANIA*ROUMANIE;no;;-;-;;Romania;0,00€;;;;0,00€;;;;;
;;ETICAS RESEARCH AND CONSULTING SL*ETICAS R&C;no;ESB86543188;CALLE DEL RELOJ 2;COLMENAR VIEJO MADRID;28770;Spain;0,00€;;;;0,00€;;;;;
;;DERMALOG IDENTIFICATION SYSTEMS GMBH*;no;DE196922167;MITTELWEG 120;HAMBURG;20148;Germany;0,00€;;;;0,00€;;;;;
;;INDRA SISTEMAS SA*;yes;ESA28599033;AVENIDA DE BRUSELAS 35;ALCOBENDAS MADRID;28108;Spain;0,00€;;;;0,00€;;;;;
;;REINO DE ESPANA*ROYAUME D ESPAGNEKINGDOM OF SPAIN;no;;-;-;;Spain;0,00€;;;;0,00€;;;;;
;;CENTRE FOR IRISH AND EUROPEAN SECURITY LIMITED*CIES;no;IE9737883F;CLANWILLIAM TERRACE  3;DUBLIN;2;Ireland;0,00€;;;;0,00€;;;;;
;;VISION BOX - SOLUCOES DE VISAO PORCOMPUTADOR SA*;no;PT505350173;RUA CASAL DO CANAS 2 ZONA;CARNAXIDE;2700 294;Portugal;0,00€;;;;0,00€;;;;;
;;EESTI VABARIIK*REPUBLIQUE D ESTONIEREPUBLIC OF ESTONIA;no;;-;-;;Estonia;0,00€;;;;0,00€;;;;;
;;UNIVERSITA DEGLI STUDI DI MILANO*;no;IT03064870151;VIA FESTA DEL PERDONO 7;MILANO;20122;Italy;0,00€;;;;0,00€;;;;;
;;SAFE ID SOLUTIONS GMBH*;no;DE277528878;WILLY MESSERSCHMITT STRASSE 1;OTTOBRUNN;85521;Germany;0,00€;;;;0,00€;;;;;
SI2.658692.6;2013;SIVECO ROMANIA SA*;no;RO476331;SOSEAUA BUCURESTI-PLOIESTI 73-81;BUCURESTI;013685;Romania;0,00€;;;Operational;12.164,15€;CC 10449 CORDIS LOT 3 CORE SOFTWARE (TAKEOVER);Directorate-General for Energy;Research related to energy (32.06.01);Research: Framework  programme n°7;Public procurement (including provisional commitments)
SLG.CMM.2013.3091.1;2013;EUROPEAN DYNAMICS CONSORTIUM ESP-DESIS II-LOT 1A*EUROPEAN DYNAMICS SASYGNITY SA KPMG ADVISORY SPA NOVABASE CONSULTING - CONSULTORIA, DESENV;no;EL094402295;KIFISSIAS AV 209 AND ARKADIOU ST 10;MAROUSSI;151 24;Greece;0,00€;;;Administrative;12.163,80€;Analyst/Consultant/Architect/Expert/Webmaster/Engineer for information technologies systems and/or services;Directorate-General for Informatics;Expenditure related to information and communication technology equipment and services of the Commission (XX.01.03.01);XX Administrative expenditure allocated to policy areas;Public procurement (including provisional commitments)
CCR.IRMM.C56497.X3.11;2013;SIGMA-ALDRICH NV*;yes;BE0425578392;KARDINAAL CARDIJNPLEIN 8;BORNEM;2880;Belgium;0,00€;;;Operational;12.160,53€;Chemicals in Life Science;Joint Research Centre;RTD support for the Union’s policies on a competitive basis (10.04.03);Research: Framework  programme n°6 (completion);Public procurement (including provisional commitments)
SLG.CMM.2013.3895.1;2013;GETSYS LUXEMBOURG ASSOCIATION MOMENTANEE*GETRONICS BELGIUM SA SYSTEMAT LUXEMBOURG PSF SA;no;LU24956408;RUE DES SCILLAS 15;HOWALD;2529;Luxembourg;0,00€;;;Administrative;12.160,25€;Purchase and/or maintenance of information technologies and/or communication equipment;Directorate-General for Informatics;Expenditure related to information and communication technology equipment and services of the Commission (XX.01.03.01);XX Administrative expenditure allocated to policy areas;Public procurement (including provisional commitments)
SI2.656380.2;2013;CONSORTIUM EVERIS-ENGINEERING INGEGNERIA-DELOITTE CONSULTING*EVERIS SPAIN SLU ENGINEERING INGEGNERIA INFORMATICA SPA DELOITTE CONS ENG INT B;yes;ESB82387770;AVENIDA MANOTERAS 52;MADRID;28050;Spain;0,00€;;;Administrative;12.150,00€;TECHNOLOGY EXPERT FOR LIFELONG LEARNING PROGRAMME AND YOUTH IN ACTION PROGRAMME;Directorate-General for Education and Culture;Youth in Action — Expenditure on administrative management (15.01.04.55);Youth in Action;Public procurement (including provisional commitments)
SI2.666713.7;2013;STRATIQO CONSORTIUM*TRASYS SA TRASYS LUXEMBOURG PSF SA TRASYS TECHNOLOGY SA ATOS BELGIUM SA ATOS INTEGRATION SAS ATOS LUXEMBOURG PSF SA;no;BE0429117706;AVENUE ARIANE 7;BRUXELLES;1200;Belgium;0,00€;;;Operational;12.142,73€;IS SENIOR ARCHITECT (SAR) - CORDIS;Directorate-General for Research and Innovation;Cooperation — Environment (including climate change) (08.06.01);Research: Framework  programme n°7;Public procurement (including provisional commitments)
SI2.663014.1;2013;INSTITUTUL DE INSTRUIRE IN DEZVOLTARE MILLENIUM ASOCIATIE OBSTEASCA*MILLENIUM TRAINING AND DEVELOPMENT INSTITUTE INSTITUTE MILLENIUM;yes;;STRADA MINERILOR 2/3;CRICOVA;2084;Moldova;0,00€;;;Operational;12.133,05€;COOPERATION AVEC LES PAYS VOISINS DE L'UNION : Get a Job - Mission (Im)Possible?!;Education, Audiovisual and Culture Executive Agency;European Neighbourhood and Partnership financial cooperation with eastern Europe (19.08.01.03);European Neighbourhood and Partnership Instrument;Grants
SI2.ICNGRACE016663500.12;2013;LATVIJAS UNIVERSITATES CIETVIELU FIZIKAS INSTITUTS*INSTITUTE OF SOLIDSTATE PHYSICS OF UNIVERSITY OF LATVIA;yes;LV90002124925;KENGARAGA IELA 8;RIGA;1063;Latvia;0,00€;;;Operational;12.120,00€;CONTRACT OF ASSOCIATION LATVIA;Directorate-General for Research and Innovation;Euratom — Fusion energy (08.20.01);Framework Programme for nuclear research and training activities;Grants
SI2.ACGRACE060443800.1;2013;ETHNIKO KENTRO EREVNAS FYSIKON EPISTIMON DIMOKRITOS*NATIONAL CENTER FOR SCIENTIFIC RESEARCH DEMOKRITOS NCSR DEMOKRITOS EKEFE;yes;EL090085651;END OF PATRIARCHOU GRIGORIOU E;AGIA PARASKEVI - ATTIKIS;15310;Greece;0,00€;;;Operational;12.118,00€;FU07-CT-2013-00050 - PRIORITY SUPPORT PPP&T UNDER EFDA;Directorate-General for Research and Innovation;Appropriations accruing from contributions from (non-European Economic Area) third parties to research and technological development (08.22.04);Framework Programme for nuclear research and training activities;Grants
SI2.646952.2;2013;CONSORTIUM CLASS*SWORD TECHNOLOGIES LOGICA BELGIUM C-DEV SERCO SPA;yes;LU18044744;ROUTE D ARLON 105;LUXEMBOURG;8009;Luxembourg;0,00€;;;Administrative;12.112,67€;IN HOUSE SUPPORT FOR IT SYSTEMS;Directorate-General for Agriculture and Rural Development;European Agricultural Fund for Rural Development (EAFRD) — Non-operational technical assistance (05.01.04.04);Rural Development;Public procurement (including provisional commitments)
SI2.639857.2;2013;ENTREPRISE R. DE LORENZI ET FILS SARL*;no;LU16947014;RUE DES REMPARTS 14;ESCH SUR ALZETTE;4303;Luxembourg;4.380,30€;;;Administrative;12.111,94€;RENOVATION ET AMENAGEMENT LOCAUX -MACONNERIE;Office for Infrastructure and Logistics in Luxembourg;Office for Infrastructure and Logistics in Luxembourg (26.01.23.01);26 Commission's administration;Provisional commitment followed by payment
SLG.CMM.2013.21396.1;2013;BECHTLE AG*;yes;DE143849458;BECHTLE PLATZ 1;NECKARSULM;74172;Germany;0,00€;;;Administrative;12.103,40€;PURCHASE OF INFORMATION TECHNOLOGIES AND/OR COMMUNICATION EQUIPMENT;Directorate-General for Informatics;Expenditure related to information and communication technology equipment and services of the Commission (XX.01.03.01);XX Administrative expenditure allocated to policy areas;Public procurement (including provisional commitments)
SI2.647671.2;2013;ISS SECURITY IDIOTIKI EPICHEIRISI PAROCHIS IPIRESION ASFALEIAS AE*;yes;EL094119190;POSEIDONOS 87;THESSALONIKI;57001;Greece;0,00€;;;Administrative;12.100,00€;ATH - SECURITY/RECEPTION SERVICES IN REP'S OFFICES;Directorate-General for Communication;Buildings and related expenditure of the Directorate-General for Communication: Commission Representations (16.01.03.03);16 Communication;Public procurement (including provisional commitments)
CCR.IES.C195700.X58.3;2013;STRATIQO CONSORTIUM*TRASYS SA TRASYS LUXEMBOURG PSF SA TRASYS TECHNOLOGY SA ATOS BELGIUM SA ATOS INTEGRATION SAS ATOS LUXEMBOURG PSF SA;yes;BE0429117706;AVENUE ARIANE 7;BRUXELLES;1200;Belgium;0,00€;;;Operational;12.095,00€;IS Consultant Level 2 - SC8310;Joint Research Centre;Non-nuclear activities of the Joint Research Centre (JRC) (10.02.01);Research: Framework  programme n°7;Public procurement (including provisional commitments)
CCR.IPSC.C195979.X11.2;2013;SAS INSTITUTE NV*;yes;BE0434697184;HERTENBERGSTRAAT 6;TERVUREN;3080;Belgium;0,00€;;;Operational;12.094,96€;OF 21 SAS LICENCE RENEWAL;Joint Research Centre;RTD support for the Union’s policies on a competitive basis (10.04.03);Research: Framework  programme n°6 (completion);Public procurement (including provisional commitments)
SI2.650673.1;2013;UNIFY AB*;yes;SE556643291901;WALLINGATAN 18;DANDERYD STOCKHOLM;111 24;Sweden;0,00€;;;Operational;12.093,00€;STO/ TECHNICAL INSTALLATIONS FOR THE HOUSE OF EUROPE IN ALMEDALEN 2013;Directorate-General for Communication;Communication of the Commission Representations (16.03.02.01);16 Communication;Public procurement (including provisional commitments)
SLG.CMM.2013.11509.1;2013;COMPAREX NEDERLAND BV*;no;NL801250857B01;NARITAWEG 177;AMSTERDAM;1043 BW;Netherlands;0,00€;;;Administrative;12.090,20€;Maintenance of information technologies and/or communication equipment;Directorate-General for Informatics;Expenditure related to information and communication technology equipment and services of the Commission (XX.01.03.01);XX Administrative expenditure allocated to policy areas;Public procurement (including provisional commitments)
SI2.641996.1;2013;RICOH BELGIUM NV*;no;BE0418856193;MEDIALAAN 28A;VILVOORDE;1800;Belgium;0,00€;;;Administrative;12.080,88€;RENOUVELLEMENT 2013 MAINTENANCE PARC PHOTOCOPIEURS;Publications Office of the European Union;Publications Office (26.01.09.01);26 Commission's administration;Public procurement (including provisional commitments)
SI2.641996.3;2013;RICOH BELGIUM NV*;no;BE0418856193;MEDIALAAN 28A;VILVOORDE;1800;Belgium;0,00€;;;Administrative;12.080,88€;RENOUVELLEMENT 2013 MAINTENANCE PARC PHOTOCOPIEURS;Publications Office of the European Union;Official Journal of the European Union (26.01.11.01);26 Commission's administration;Public procurement (including provisional commitments)
CCR.ITU.C195781.X170.1;2013;CONSORTIUM SERCO/SIS/CRONOS*SERCO BELGIUM SA ATOS BELGIUM SA CRONOS INTERNATIONAL SA ATOS INTEGRATIO SAS;yes;BE0464923671;AVENUE EDMOND VAN NIEUWENHUYSE;BRUXELLES;1160;Belgium;0,00€;;;Administrative;12.075,00€;prolongation-web-master;Joint Research Centre;Other management expenditure for research (10.01.05.03);10 Direct research;Public procurement (including provisional commitments)
SLG.CMM.2013.4964.1;2013;ORACLE BELGIUM BVBA*;no;BE0440966354;MEDIALAAN 50;VILVOORDE;1800;Belgium;0,00€;;;Administrative;12.060,00€;Analyst/Consultant/Architect/Expert/Webmaster/Engineer for information technologies systems and/or services;Directorate-General for Informatics;Expenditure related to information and communication technology equipment and services of the Commission (XX.01.03.01);XX Administrative expenditure allocated to policy areas;Public procurement (including provisional commitments)
SLG.CMM.2013.5841.1;2013;VALTECH TRAINING SAS*;no;FR73443533070;AVENUE DU GENERAL DE GAULLE 90/102;COURBEVOIE;92400;France;0,00€;;;Administrative;12.057,75€;Information technologies training;Directorate-General for Informatics;Expenditure related to information and communication technology equipment and services of the Commission (XX.01.03.01);XX Administrative expenditure allocated to policy areas;Public procurement (including provisional commitments)
SLG.CMM.2013.25996.1;2013;BECHTLE AG*;yes;DE143849458;BECHTLE PLATZ 1;NECKARSULM;74172;Germany;0,00€;;;Administrative;12.046,06€;PURCHASE OF INFORMATION TECHNOLOGIES AND/OR COMMUNICATION EQUIPMENT;Directorate-General for Informatics;Expenditure related to information and communication technology equipment and services of the Commission (XX.01.03.01);XX Administrative expenditure allocated to policy areas;Public procurement (including provisional commitments)
D45.B1313.002615.1;2013;ABC THEATRICAL DISTRIBUTION BV*CINEMIEN;yes;NL808479829B01;AMSTELDIJK 10;AMSTERDAM;1074 HP;Netherlands;0,00€;;;Operational;12.037,00€;SOUTIEN AUTOMATIQUE A LA DISTRIBUTION : 1212DI073135NL3176 | ABC THEATRICAL DISTRIBUTION BV (CINEMIEN) | OH BOY;Education, Audiovisual and Culture Executive Agency;MEDIA 2007 — Support programme for the European audiovisual sector (15.04.66.01);MEDIA 2007: Support for the European audiovisual sector;Grants
SLG.CMM.2013.3463.1;2013;CONSORTIUM SERCO/SIS/CRONOS*SERCO BELGIUM SA ATOS BELGIUM SA CRONOS INTERNATIONAL SA ATOS INTEGRATIO SAS;no;BE0464923671;AVENUE EDMOND VAN NIEUWENHUYSE;BRUXELLES;1160;Belgium;0,00€;;;Administrative;12.033,60€;Analyst/Consultant/Architect/Expert/Webmaster/Engineer for information technologies systems and/or services;Directorate-General for Informatics;Expenditure related to information and communication technology equipment and services of the Commission (XX.01.03.01);XX Administrative expenditure allocated to policy areas;Public procurement (including provisional commitments)
SI2.652199.2;2013;A3S UP FOR EU CONSORTIUM*SOPRA BELUX SA ALTRAN SA ATOS ORIGIN BELGIUM SA ACCENTURE SA;yes;BE0407211542;AVENUE LOUISE 326 29;BRUXELLES;1050;Belgium;0,00€;;;Operational;12.011,20€;EXTENSION FOR ASP.NET PROGRAMMER;Directorate-General for Health and Consumers;Union action in the field of health (17.03.06);Public Health;Public procurement (including provisional commitments)
SI2.662719.2;2013;NEZAVISNA OMLADINSKA ORGANIZACIJA ACTIVE UDRUZENJE*INDEPENDENT YOUTH ORGANIZATION ACTIVE COKA ACTIVE FUGGETLEN IFJUSAGI SZERVEZET CSOKA;yes;RS102652202;MARSALA TITA 2;COKA;23320;Serbia (Republic of);0,00€;;;Operational;12.006,00€;COOPERATION AVEC LES PAYS VOISINS DE L'UNION : Raise up, call for your right-you have the might;Education, Audiovisual and Culture Executive Agency;Regional and horizontal programmes (22.02.07.01);Instrument for Pre-Accession Assistance;Grants
CCR.IES.C195781.X193.3;2013;CONSORTIUM SERCO/SIS/CRONOS*SERCO BELGIUM SA ATOS BELGIUM SA CRONOS INTERNATIONAL SA ATOS INTEGRATIO SAS;yes;BE0464923671;AVENUE EDMOND VAN NIEUWENHUYSE;BRUXELLES;1160;Belgium;0,00€;;;Operational;12.000,00€;H08 - SC 1622-ITSSII 000914 EXT 1;Joint Research Centre;RTD support for the Union’s policies on a competitive basis (10.04.03);Research: Framework  programme n°6 (completion);Public procurement (including provisional commitments)
D45.B1212.005743.1;2013;CONTROVENTO SOCIETA COOPERATIVA*CON;yes;IT03302070408;VIA CALCINARO 1458;CESENA FO;47522;Italy;0,00€;;;Operational;12.000,00€;PROJETS DE PARTENARIAT : Io giovane cittadino in Europa;Education, Audiovisual and Culture Executive Agency;Youth in Action (15.05.55);Youth in Action;Grants
D45.B1313.000083.1;2013;WILD SIDE FILMS SAS*;yes;FR00442331054;RUE DE CLICHY 42;PARIS;75009;France;0,00€;;;Operational;12.000,00€;SOUTIEN AUTOMATIQUE A LA DISTRIBUTION : 1111DI072012FR3138 | WILD SIDE FILMS | BERBERIAN SOUND STUDIO;Education, Audiovisual and Culture Executive Agency;MEDIA 2007 — Support programme for the European audiovisual sector (15.04.66.01);MEDIA 2007: Support for the European audiovisual sector;Grants
D45.B1313.000670.1;2013;FRENETIC FILMS AG*;yes;CHE107656797MWST;BACHSTRASSE 9;ZURICH;8038;Switzerland;0,00€;;;Operational;12.000,00€;SOUTIEN AUTOMATIQUE A LA DISTRIBUTION : 1212DI072067CH2990 | FRENETIC FILMS AG | BOULE & BILL;Education, Audiovisual and Culture Executive Agency;MEDIA 2007 — Support programme for the European audiovisual sector (15.04.66.01);MEDIA 2007: Support for the European audiovisual sector;Grants
D45.B1313.001421.1;2013;IMAGINE FILM DISTRIBUTION SA*;yes;BE0477207633;RUE MAZENQUE 34;OLLIGNIES;7866;Belgium;0,00€;;;Operational;12.000,00€;"SOUTIEN SELECTIF A LA DISTRIBUTION : 1203DI010029BE | SPRL ""IMAGINE FILM DISTRIBUTION"" | MORE THAN HONEY";Education, Audiovisual and Culture Executive Agency;MEDIA 2007 — Support programme for the European audiovisual sector (15.04.66.01);MEDIA 2007: Support for the European audiovisual sector;Grants
D45.B1313.001956.1;2013;FRENETIC FILMS AG*;yes;CHE107656797MWST;BACHSTRASSE 9;ZURICH;8038;Switzerland;0,00€;;;Operational;12.000,00€;SOUTIEN SELECTIF A LA DISTRIBUTION : 1203DI010023CH | FRENETIC FILMS AG | KAPRINGEN;Education, Audiovisual and Culture Executive Agency;MEDIA 2007 — Support programme for the European audiovisual sector (15.04.66.01);MEDIA 2007: Support for the European audiovisual sector;Grants
D45.B1313.002821.1;2013;PRO FILMS OOD*;yes;BG131355676;DARVENITZA COMPL BL9 ENTRB APT46;SOFIA;1756;Bulgaria;0,00€;;;Operational;12.000,00€;SOUTIEN SELECTIF A LA DISTRIBUTION : 1301DI010033BG | PRO FILMS OOD | REISEN TIL JULESTJERNEN;Education, Audiovisual and Culture Executive Agency;MEDIA 2007 — Support programme for the European audiovisual sector (15.04.66.01);MEDIA 2007: Support for the European audiovisual sector;Grants
D45.B1313.002855.1;2013;EUROPAFILM AS*;yes;NO911531216MVA;PEDER CLAUSONSGATE 2;OSLO;0165;Norway;0,00€;;;Operational;12.000,00€;SOUTIEN SELECTIF A LA DISTRIBUTION : 1301DI010025NO | EUROPAFILM AS | METEORA;Education, Audiovisual and Culture Executive Agency;MEDIA 2007 — Support programme for the European audiovisual sector (15.04.66.01);MEDIA 2007: Support for the European audiovisual sector;Grants
